0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
85,-407,200,191,420,457,310,310,16,1009,531,126,457,200,457,384,-90,473,121
-266,-55,-20,367,163,384,-20,310,494,1193,494,236,236,310,200,457,-195,543,15
-90,-19,126,437,420,568,347,457,-131,1156,384,384,494,384,494,531,-19,613,261
-90,-160,163,473,384,494,310,384,457,1340,494,420,310,420,273,531,-90,437,-19
-301,-336,-20,473,200,531,89,420,200,1156,310,494,273,457,236,568,-160,578,121
85,-336,273,402,494,641,457,457,-20,1156,420,494,420,420,457,568,15,543,191
-160,191,89,508,236,568,126,457,494,1304,457,568,126,531,89,604,-125,543,-19
15,297,200,508,384,715,200,568,-241,1083,384,604,347,568,310,678,15,578,226
191,121,347,402,457,604,273,494,200,1193,568,457,310,457,236,678,15,402,85
-55,-55,126,367,273,531,89,531,200,1046,384,420,273,420,163,715,-90,508,226
297,-266,347,226,568,568,457,457,-167,862,420,310,494,310,420,641,15,402,261
-19,-125,126,226,273,347,89,273,384,936,384,236,163,273,89,531,-160,226,-19
-90,-90,89,156,273,347,163,347,-241,678,200,273,347,273,273,531,-55,297,261
156,-55,273,85,457,273,384,236,163,825,420,200,347,163,273,384,15,156,121
-19,50,89,121,200,163,52,200,273,715,384,163,126,163,52,384,-125,191,121
437,85,347,15,494,236,310,163,-241,531,384,126,347,89,310,384,15,121,261
367,367,236,50,273,89,89,89,420,715,457,126,52,126,16,347,-125,15,15
226,367,126,15,200,89,16,163,-57,494,236,163,200,126,200,384,-125,121,261
402,191,273,-55,384,89,236,126,89,531,347,126,273,52,273,347,-90,15,121
85,297,-20,-19,89,52,-131,89,347,494,200,163,16,163,16,420,-336,85,15
437,191,89,-90,273,163,200,200,-278,273,126,236,310,163,384,457,-231,121,226
226,121,16,-55,89,16,89,126,384,604,236,200,126,163,163,384,-266,-55,-19
-336,121,-131,50,-94,16,-20,163,89,604,16,273,126,200,163,457,-125,50,156
-231,226,126,50,163,52,310,200,16,715,89,200,236,126,236,494,85,15,191
-583,473,-94,121,-57,16,-57,236,457,825,52,236,-57,163,-57,531,-55,85,85
-266,402,89,121,200,200,163,347,-241,604,52,236,200,163,200,531,121,226,261
-19,437,236,156,273,200,126,200,310,788,273,200,52,126,16,494,85,156,-19
-125,473,89,226,163,236,-20,236,200,715,163,236,52,200,52,531,85,367,191
