0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
261,121,310,261,310,200,200,163,163,236,236,236,310,163,420,347,121,226,156
226,191,236,226,89,236,163,200,236,16,236,310,163,200,163,89,261,156,156
226,121,236,226,200,273,200,310,126,200,126,236,89,163,89,89,156,402,297
191,261,236,297,200,384,200,347,126,163,200,310,163,273,163,163,261,332,191
156,261,200,261,163,347,273,310,310,273,200,273,236,236,236,200,191,332,261
15,156,163,226,310,347,273,384,126,347,126,273,200,236,236,273,121,437,261
50,191,163,261,236,347,273,310,310,236,236,310,310,310,310,273,226,226,191
85,156,200,226,347,200,310,273,273,310,236,273,273,236,273,163,191,332,332
156,226,273,261,347,163,236,236,236,200,310,347,273,236,236,200,297,156,191
226,156,273,191,163,52,200,163,347,236,273,236,200,126,200,200,191,15,191
50,-19,126,50,126,16,126,236,126,347,16,89,52,89,52,163,15,121,191
15,15,16,15,16,52,163,163,236,200,52,126,89,89,126,163,85,-19,50
-55,-55,16,-55,16,-57,200,126,200,273,16,-20,52,-57,89,89,-55,85,156
-125,-55,16,-19,16,-20,163,163,52,163,16,16,89,16,89,89,-19,85,50
-19,-55,52,-19,-57,-20,126,52,200,89,126,89,163,52,200,89,50,-19,50
-90,-90,52,15,89,-20,89,126,16,163,-20,126,89,52,52,52,15,121,121
-55,121,52,156,16,89,52,89,89,16,52,273,89,163,52,89,156,-19,50
-19,156,52,121,52,16,89,52,163,89,16,200,52,126,52,89,85,50,191
-55,85,16,50,52,52,52,126,52,126,-20,236,16,200,52,163,50,85,121
50,85,16,-19,-57,52,89,16,273,16,126,273,126,163,163,126,50,-19,50
-19,-19,52,-90,52,16,89,52,126,89,89,163,89,89,89,52,-19,156,156
15,85,89,-19,52,89,89,16,126,-57,200,200,163,126,126,89,121,85,-19
50,85,126,15,52,89,126,-20,200,16,236,163,163,89,163,52,85,121,85
-55,85,126,85,126,126,89,89,16,89,163,200,126,126,89,89,156,226,85
85,156,200,156,16,200,89,89,163,16,310,310,163,200,163,126,297,85,50
85,50,273,121,89,200,52,126,52,126,236,236,126,200,126,163,191,226,156
85,85,200,85,89,200,16,89,-20,-57,200,310,163,310,126,200,191,85,-19
121,121,126,15,16,89,16,-94,126,-94,236,273,163,200,163,89,121,15,-19
15,156,126,121,126,52,16,-57,-94,-57,163,310,163,89,126,16,156,156,-55
191,297,200,261,52,52,16,-131,52,-167,347,384,236,89,200,52,297,15,-125
226,121,236,156,89,16,52,-57,52,16,273,200,200,52,163,52,156,85,50
121,85,163,121,126,52,52,52,16,16,236,163,163,126,163,126,156,50,-19
156,121,163,121,52,52,89,16,163,16,273,163,200,89,200,89,156,-19,15
121,85,163,156,126,52,52,52,-57,52,126,163,89,89,89,16,121,156,15
191,226,126,226,16,126,-20,16,-20,-131,200,310,126,163,126,89,226,50,-125
156,191,126,191,16,163,-20,16,16,52,126,273,89,126,89,89,121,191,15
15,156,126,226,126,200,16,126,-20,126,163,310,89,200,89,163,191,191,50
121,156,200,191,126,200,163,89,236,89,347,200,236,200,200,163,226,85,156
15,15,163,85,347,200,347,236,163,236,236,89,236,163,236,163,121,297,367
50,85,126,121,310,273,384,200,273,89,273,200,273,236,273,163,226,121,226
226,85,200,121,200,163,347,126,273,126,273,200,163,89,126,89,156,121,226
191,85,200,121,163,126,200,163,52,200,126,163,16,89,-20,89,121,191,156
191,121,163,121,16,163,163,126,236,126,200,126,52,126,52,163,156,85,121
50,-19,89,15,200,163,236,236,236,347,89,16,52,126,89,163,15,261,367
50,-19,52,-19,273,236,347,310,310,236,163,89,163,200,200,200,85,156,332
85,-19,89,-55,273,200,457,273,384,236,200,89,236,163,236,126,50,121,437
15,-19,52,15,310,200,384,347,163,236,89,126,163,200,163,163,15,191,367
85,156,52,85,126,200,310,236,310,126,163,200,163,236,200,200,121,15,191
50,50,52,85,126,52,236,200,273,310,16,89,52,89,89,126,-19,121,226
15,50,16,121,89,89,200,163,236,163,16,89,52,89,89,89,15,85,121
50,50,-20,85,16,89,236,89,384,163,89,89,89,52,163,52,-19,85,156
-125,-19,-57,15,126,126,236,236,200,310,-20,52,52,52,89,52,-90,261,261
-19,50,16,50,126,200,273,273,310,200,163,126,163,89,163,126,85,121,226
85,-19,126,50,200,163,384,347,347,384,236,52,200,89,200,163,85,191,402
50,-19,163,85,273,200,347,420,200,310,200,126,163,200,126,236,156,191,261
85,121,163,121,126,163,273,236,273,163,273,163,163,200,126,200,191,50,191
50,121,200,121,163,126,126,163,16,200,126,126,52,126,16,126,121,226,156
156,226,200,226,126,200,52,52,89,-57,236,200,126,200,89,126,297,156,15
226,156,236,226,200,200,163,52,163,52,200,163,163,163,163,89,226,191,191
121,121,200,226,273,200,200,200,126,126,200,163,236,200,236,163,226,226,226
156,156,236,191,200,236,273,200,347,126,347,200,347,273,347,200,297,85,226
85,50,236,121,347,236,273,273,200,273,273,89,273,236,236,200,191,297,297
85,121,236,191,273,273,163,236,163,126,310,163,236,310,200,236,297,156,121
191,156,236,191,236,200,163,163,236,163,273,126,200,236,163,200,226,191,191
121,191,200,261,273,200,126,236,52,200,89,126,89,273,52,200,191,226,156
156,297,163,261,126,236,126,126,236,89,163,236,89,310,126,236,261,15,85
85,156,126,156,163,163,126,163,163,236,16,163,52,236,89,200,50,121,191
15,156,16,121,163,200,126,200,89,163,16,126,89,236,126,236,85,85,85
