0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
85,261,52,226,52,200,126,310,-20,236,126,200,-20,200,-20,347,85,50,85
156,508,126,226,126,236,89,310,-57,273,273,420,16,310,-57,89,297,121,85
297,473,89,332,52,163,-167,236,-20,126,236,273,-57,126,-167,273,402,15,-160
191,402,89,156,89,89,-94,163,-167,200,89,200,-57,52,-167,89,85,156,-90
156,402,89,121,52,126,-131,89,16,89,126,200,-20,52,-131,52,332,121,-55
50,156,16,121,16,16,-167,126,-94,126,-94,-20,-94,-131,-204,200,15,50,-90
-55,191,16,-19,52,-20,16,163,16,310,-94,52,-57,-57,-94,-20,-19,50,121
-19,50,-94,15,-94,-94,-131,163,126,236,-94,-57,-131,-167,-131,236,85,-125,15
-90,-19,-131,-90,-94,-167,-94,126,-57,384,-167,-131,-204,-167,-167,89,-231,-55,50
-55,50,-57,-55,-57,-94,-204,52,-20,273,-20,16,-167,-57,-167,-20,85,-55,121
-55,-90,-131,15,-131,-204,-315,-20,-94,236,-131,-94,-241,-204,-241,126,-90,-160,-19
-160,15,-94,-125,-94,-204,-94,16,-94,420,-167,16,-278,-94,-131,-94,-160,-55,156
-125,-19,-131,-19,-167,-204,-204,-20,52,163,-167,-20,-315,-167,-167,52,121,-90,85
-195,-90,-204,-55,-204,-204,-131,16,-131,163,-315,-57,-315,-167,-167,-57,-231,-19,121
-195,50,-167,-55,-167,-57,-57,16,-20,89,-167,163,-241,16,-57,-204,50,15,191
-125,-19,-241,50,-241,-57,-204,16,-57,-57,-204,16,-278,-57,-94,16,-19,-90,-90
-125,85,-167,15,-131,16,-131,16,-204,89,-167,126,-167,89,-20,-241,-195,50,-55
-55,121,-131,85,-131,52,-278,-20,-94,-57,-57,126,-94,89,-20,-57,50,15,-160
-125,15,-167,50,-94,-20,-241,-20,-278,52,-204,52,-94,52,-94,16,-301,15,-195
-125,156,-94,-19,-57,52,-167,-20,-278,126,-131,236,16,200,-94,-204,-90,15,-90
-90,15,-204,121,-167,16,-351,-57,-241,16,-241,163,-57,89,-204,16,-90,-125,-195
-195,15,-204,50,-204,52,-131,52,-278,236,-388,236,-20,163,-131,-167,-301,50,50
-195,85,-167,156,-204,163,-94,126,16,200,-315,273,-20,163,-94,-94,15,85,85
-195,-19,-167,226,-278,89,-57,236,-94,200,-462,163,-94,52,-167,52,-231,156,15
-266,121,-20,156,-167,200,89,310,-94,236,-388,310,-20,236,-20,-167,-160,261,191
-195,50,-57,261,-204,163,16,310,16,52,-315,163,16,163,-20,89,-55,156,85
-231,-19,-20,191,-94,200,200,310,-131,200,-351,126,89,200,-20,16,-336,297,121
-125,50,52,226,-57,310,89,236,52,16,-94,273,163,236,16,16,50,332,121
-19,-19,16,297,-57,236,16,163,-20,-94,-94,89,126,52,-57,236,-90,261,-90
15,121,126,226,89,273,126,126,16,16,16,236,200,163,52,-20,-19,332,50
121,85,163,297,52,200,-20,52,236,-20,89,200,200,89,89,200,261,191,-19
50,50,163,191,89,89,89,16,163,273,-20,163,126,-20,89,163,-55,191,85
50,121,200,121,126,89,200,16,457,420,126,273,200,52,273,52,191,191,261
50,-19,126,121,126,-20,200,52,531,457,52,89,163,-94,236,310,-19,50,156
-19,15,200,-19,236,16,420,126,494,531,89,163,273,89,347,89,-125,121,367
121,-19,200,50,236,89,273,163,568,310,273,89,310,52,347,200,191,50,402
121,-90,236,-19,236,52,384,200,347,420,200,-20,273,-20,273,236,-55,121,437
191,50,347,-19,347,126,494,200,420,384,420,163,310,163,347,52,261,156,543
332,-19,384,121,310,89,273,200,347,200,420,52,236,52,236,236,332,15,297
297,85,420,50,420,52,384,200,236,310,420,126,273,89,273,16,226,85,367
402,156,420,156,384,52,310,163,420,163,568,163,273,126,347,89,543,-19,297
367,50,310,121,384,-20,347,163,273,200,420,16,273,52,310,200,226,-55,226
332,156,310,50,420,126,420,126,310,236,494,163,310,200,384,52,367,-55,332
402,50,236,121,310,89,273,52,310,89,494,52,236,89,347,310,402,-160,156
332,15,200,50,347,89,384,52,163,163,384,52,273,126,347,163,156,15,226
332,50,236,85,347,163,273,16,273,-57,457,52,310,163,347,200,437,50,156
297,-90,200,85,310,52,200,16,126,-57,273,-94,310,16,310,310,156,50,50
191,50,273,-19,420,126,347,16,236,16,310,52,420,126,420,89,191,121,191
226,-55,163,85,310,52,200,16,347,-131,310,-20,384,16,384,310,261,15,85
85,-90,163,-19,347,16,310,52,200,16,236,-20,384,16,384,163,-90,85,156
121,50,200,-19,384,52,310,52,310,-20,384,126,384,126,384,163,226,50,226
226,-19,200,50,310,-20,163,52,163,-94,273,16,310,16,236,310,121,15,85
226,156,310,-19,384,52,236,52,89,52,310,200,347,163,236,16,156,121,226
367,156,310,85,347,52,52,52,163,-94,384,163,273,89,163,200,402,50,85
297,121,310,85,347,89,126,89,-57,-57,273,163,273,126,126,52,85,121,50
332,297,384,156,384,200,126,16,52,-131,457,384,273,273,163,-57,437,121,50
367,226,310,297,273,89,16,-57,52,-94,347,273,200,89,89,126,297,15,-90
297,332,310,156,347,52,200,16,52,163,347,384,273,236,163,-131,156,121,85
332,367,273,226,310,52,89,-20,126,-20,384,384,273,200,89,16,473,50,-19
297,332,236,226,310,52,89,-20,-94,89,236,347,236,163,16,-57,191,156,-90
261,508,310,226,310,200,126,-20,16,126,310,531,273,310,89,-204,437,261,-19
297,332,236,332,200,200,16,-57,89,-20,236,347,200,200,52,52,367,226,-160
226,367,236,226,236,236,200,16,16,163,200,457,236,310,89,-167,156,367,15
261,437,200,332,163,273,126,52,200,126,273,457,236,310,89,-20,437,297,50
191,261,163,297,126,200,126,163,52,273,89,273,163,200,52,89,50,332,121
156,367,273,261,236,310,273,273,163,347,200,420,236,347,126,-94,191,473,297
226,297,273,402,200,273,126,273,200,163,163,310,163,236,52,200,297,437,156
156,332,347,332,236,310,273,310,16,236,89,347,163,310,89,89,50,543,226
226,367,384,367,236,347,163,236,163,89,273,420,163,347,126,200,402,437,191
297,191,273,367,163,236,126,236,52,89,200,236,52,200,52,347,156,332,85
297,297,347,261,236,273,236,236,89,236,273,384,89,310,163,163,261,261,191
367,297,310,367,163,200,52,126,126,126,273,310,89,236,89,457,473,85,-19
297,367,310,297,200,163,126,126,16,200,163,310,52,236,89,384,156,121,-55
297,473,347,332,200,236,52,52,163,52,310,457,126,347,200,384,473,156,-90
332,367,273,437,126,163,-57,-57,52,-131,200,310,89,200,126,604,261,121,-266
261,473,310,367,236,236,52,-94,-20,-20,236,384,126,310,200,310,226,226,-125
297,402,236,437,163,236,-57,-94,89,-167,236,273,89,236,163,494,402,156,-125
191,226,163,332,126,236,16,16,-131,-20,52,126,89,163,126,420,50,226,-55
191,297,163,297,126,347,16,89,-57,52,163,236,126,310,200,347,332,297,85
191,156,52,332,-20,273,-94,126,-57,16,52,52,16,126,89,531,156,226,50
50,156,16,156,52,236,163,273,-94,236,16,126,16,200,163,273,-55,367,261
50,121,52,156,52,236,89,310,89,126,89,89,52,89,126,384,156,297,191
15,-19,89,85,52,126,126,347,-20,163,-57,-20,52,-20,126,384,-160,332,85
15,156,126,50,126,163,200,347,52,89,89,126,126,126,200,163,85,332,191
121,85,52,156,16,89,52,273,52,-94,126,89,89,52,89,347,121,156,15
50,191,89,85,126,89,200,236,-57,-20,126,163,89,126,89,16,-55,191,50
156,261,163,156,52,126,16,89,126,-204,310,236,126,126,126,52,297,15,-55
156,191,126,191,52,16,-20,52,-20,-94,200,126,89,52,89,89,85,-55,-160
191,332,163,121,163,16,89,16,-57,-20,273,273,163,163,163,-167,261,15,-19
261,226,126,226,89,-20,-94,-57,-20,-167,273,163,163,89,89,52,367,-125,-195
191,226,126,121,236,-20,-20,-94,-131,-94,236,236,200,200,89,-131,50,-55,-160
261,297,200,50,236,89,-94,-167,52,-204,384,347,236,310,163,-131,402,-90,-160
226,85,89,50,163,52,-131,-131,16,-131,236,126,126,126,126,52,156,-90,-160
156,121,126,-19,163,163,52,-20,126,52,236,200,126,200,236,-167,156,50,121
156,85,16,50,16,163,-20,16,273,16,163,126,16,126,236,52,261,15,156
-19,15,-20,-19,52,163,163,126,163,236,16,89,16,126,236,-57,-125,121,297
-55,121,16,-19,89,236,163,236,310,236,200,163,52,163,310,-94,156,156,367
-19,-19,-20,85,16,163,52,273,200,200,89,-20,16,16,163,89,-19,156,226
-19,121,89,50,126,200,200,273,126,347,126,126,52,126,200,-131,-55,297,367
50,121,89,156,52,200,89,163,310,236,163,89,52,89,200,52,191,191,226
15,15,52,85,89,89,200,163,200,384,52,-20,89,16,200,52,-195,261,226
50,121,126,50,126,163,273,163,310,310,200,89,200,163,310,-57,50,297,297
156,50,89,156,52,126,163,163,200,163,163,-20,200,52,273,163,15,261,121
85,226,200,156,200,163,273,200,89,310,163,126,273,200,310,-94,15,367,226
191,297,236,297,200,273,126,163,236,163,236,200,273,236,310,52,367,297,156
121,156,200,297,200,273,163,200,126,236,89,89,236,236,236,89,15,332,121
156,226,273,261,273,384,236,236,236,236,273,236,273,384,347,-57,226,367,226
226,156,236,332,163,310,52,236,236,126,236,126,163,273,236,200,261,156,85
